Location,Title,Year,Model,Price,Avg_Price,URL,Post_Date,Posting_Age,z_score
 (Newport beach),2009 HONDA CIVIC LX COUPE 89000 MILES GAS SAVER $ 5900 OBO,2009,Civic,5900,5470,https://sandiego.craigslist.org/csd/cto/d/2009-honda-civic-lx/6498039560.html,2018-02-15 16:00,2,0.07861060329067641
 (Newport beach),2009 HONDA CIVIC LX COUPE 89000 MILES GAS SAVER $ 5900 OBO,2009,Civic,5900,5470,https://orangecounty.craigslist.org/cto/d/2009-honda-civic-lx/6498042222.html,2018-02-15 16:08,2,0.07861060329067641
 (Newport beach),2009 HONDA CIVIC LX COUPE 89000 MILES GAS SAVER $ 5900 OBO,2009,Civic,5900,5470,https://losangeles.craigslist.org/sfv/cto/d/2009-honda-civic-lx/6498044676.html,2018-02-15 16:05,2,0.07861060329067641
 (Newport beach),2009 HONDA CIVIC LX COUPE 89000 MILES GAS SAVER $ 5900 OBO,2009,Civic,5900,5470,https://inlandempire.craigslist.org/cto/d/2009-honda-civic-lx/6498047807.html,2018-02-15 16:14,2,0.07861060329067641
 (Newport beach),2009 HONDA CIVIC LX COUPE 89000 MILES GAS SAVER $ 5900 OBO,2009,Civic,5900,5470,https://inlandempire.craigslist.org/cto/d/2009-honda-civic-lx/6498047807.html,2018-02-15 16:14,2,0.07861060329067641
 (Newport beach),2009 HONDA CIVIC LX COUPE 89000 MILES GAS SAVER $ 5900 OBO,2009,Civic,5900,5470,https://orangecounty.craigslist.org/cto/d/2009-honda-civic-lx/6498042222.html,2018-02-15 16:08,2,0.07861060329067641
 (Newport beach),2009 HONDA CIVIC LX COUPE 89000 MILES GAS SAVER $ 5900 OBO,2009,Civic,5900,5470,https://losangeles.craigslist.org/sfv/cto/d/2009-honda-civic-lx/6498044676.html,2018-02-15 16:05,2,0.07861060329067641
 (Newport beach),2009 HONDA CIVIC LX COUPE 89000 MILES GAS SAVER $ 5900 OBO,2009,Civic,5900,5470,https://inlandempire.craigslist.org/cto/d/2009-honda-civic-lx/6498047807.html,2018-02-15 16:14,2,0.07861060329067641
 (North Hollywood),Honda Civic Coupe!! 2005 Stick Shift!,2005,Civic,3800,3517,https://losangeles.craigslist.org/lac/cto/d/honda-civic-coupe-2005-stick/6469562434.html,2018-01-30 11:36,18,0.08046630651123117
 (Palmdale),2004 Honda Civic LX,2004,Civic,3500,3206,https://losangeles.craigslist.org/ant/cto/d/2004-honda-civic-lx/6495589111.html,2018-02-13 14:42,4,0.09170305676855896
 (Rowland Heights),Honnd Civic 2004 95000mi,2004,Civic,3500,3206,https://losangeles.craigslist.org/sgv/cto/d/honnd-civicmi/6488491483.html,2018-02-07 16:46,10,0.09170305676855896
 (Oceanside),2008 Honda Civic Coupe Silver Manual transmission,2008,Civic,5900,5400,https://sandiego.craigslist.org/nsd/cto/d/2008-honda-civic-coupe-silver/6494377051.html,2018-02-12 15:20,5,0.09259259259259259
 (Los Angeles),2012 Honda Civic LX (1 owner & clean Title),2012,Civic,7900,7208,https://losangeles.craigslist.org/lac/cto/d/2012-honda-civic-lx-1-owner/6475261591.html,2018-02-16 18:28,1,0.09600443951165372
 (LOS ANGELES),2012 Honda Civic LX (1 owner & clean Title),2012,Civic,7900,7208,https://losangeles.craigslist.org/lac/cto/d/2012-honda-civic-lx-1-owner/6481996040.html,2018-02-16 18:11,1,0.09600443951165372
 (Culver City),"2003 2003 Honda Civic !! ONLY 90k MILES !! clean title, hablo español",2003,Civic,2800,2554,https://losangeles.craigslist.org/wst/cto/d/honda-civic-only-90k-miles/6444501780.html,2018-01-23 15:43,25,0.09631949882537197
 (Lake Forest),2009 Honda Civic 4dr sedan manual,2009,Civic,6000,5470,https://orangecounty.craigslist.org/cto/d/2009-honda-civic-4dr-sedan/6493319083.html,2018-02-11 19:31,5,0.09689213893967093
 (Virginia),HONDA Civic 2009 CNG 26k miles,2009,Civic,6000,5470,https://sandiego.craigslist.org/csd/cto/d/honda-civic-2009-cng-26k-miles/6483381270.html,2018-02-03 10:58,14,0.09689213893967093
 (Clairemont),blue Honda Civic 2011 4 doors,2011,Civic,7300,6613,https://sandiego.craigslist.org/csd/cto/d/blue-honda-civicdoors/6472804850.html,2018-01-25 13:39,23,0.10388628459095721
 (glendale ca),2012 Honda Civic LX,2012,Civic,8000,7208,https://losangeles.craigslist.org/sfv/cto/d/2012-honda-civic-lx/6483052535.html,2018-02-03 07:05,14,0.10987791342952276
 (Pacific Beach),2008 Honda Civic,2008,Civic,6000,5400,https://sandiego.craigslist.org/csd/cto/d/2008-honda-civic/6498047355.html,2018-02-15 16:07,2,0.1111111111111111
 (Pacific Beach),2008 Honda Civic,2008,Civic,6000,5400,https://sandiego.craigslist.org/csd/cto/d/2008-honda-civic/6498047355.html,2018-02-15 16:07,2,0.1111111111111111
 (CHULA VISTA),2008   HONDA   CIVIC,2008,Civic,6000,5400,https://sandiego.craigslist.org/ssd/cto/d/2008-honda-civic/6493988632.html,2018-02-12 10:48,5,0.1111111111111111
 (CHULA VISTA),2008   HONDA   CIVIC,2008,Civic,6000,5400,https://sandiego.craigslist.org/ssd/cto/d/2008-honda-civic/6493988632.html,2018-02-12 10:48,5,0.1111111111111111
 (Lake Forest),2008 Honda Civic Lx sedan 4 doors,2008,Civic,6000,5400,https://orangecounty.craigslist.org/cto/d/2008-honda-civic-lx-sedan-4/6494349921.html,2018-02-12 14:58,5,0.1111111111111111
 (Torrance),Honda civic 2007,2007,Civic,5900,5292,https://losangeles.craigslist.org/wst/cto/d/honda-civic-2007/6471998765.html,2018-01-27 09:29,21,0.11489040060468632
 (monterey park),2004 honda civic GX cng only 94k mi with decal ++++++++++++++++++++++,2004,Civic,3600,3206,https://losangeles.craigslist.org/lac/cto/d/2004-honda-civic-gx-cng-only/6489965870.html,2018-02-11 18:00,6,0.12289457267623206
 (Montclair),2006 Honda civic ex coupe,2006,Civic,5500,4880,https://inlandempire.craigslist.org/cto/d/2006-honda-civic-ex-coupe/6494702371.html,2018-02-12 22:31,4,0.12704918032786885
 (Murrieta),2006 Honda Civic EX,2006,Civic,5500,4880,https://inlandempire.craigslist.org/cto/d/2006-honda-civic-ex/6476357132.html,2018-01-28 15:15,20,0.12704918032786885
 (Riverside),Honda Civic 2015 EX Like New,2015,Civic,9900,8767,https://sandiego.craigslist.org/csd/cto/d/honda-civic-2015-ex-like-new/6464204444.html,2018-02-15 12:30,2,0.12923462986198245
 (riverside),2015 Honda Civic EX- Low mileage,2015,Civic,9900,8767,https://losangeles.craigslist.org/lgb/cto/d/2015-honda-civic-ex-low/6446905489.html,2018-01-27 10:41,21,0.12923462986198245
 (Riverside),2007 Honda civic,2007,Civic,6000,5292,https://inlandempire.craigslist.org/cto/d/2007-honda-civic/6444380481.html,2018-01-26 18:46,22,0.13378684807256236
 (Lomita),2003 Honda Civic EX,2003,Civic,2900,2554,https://losangeles.craigslist.org/wst/cto/d/2003-honda-civic-ex/6493123499.html,2018-02-11 15:39,6,0.13547376664056382
 (OBO),2015 Honda Civic LX Clean Title Carfax,2015,Civic,9995,8767,https://palmsprings.craigslist.org/cto/d/2015-honda-civic-lx-clean/6499217680.html,2018-02-16 14:37,1,0.14007071974449642
 (Corona),2015 Honda Civic LX Coupe Clean Title,2015,Civic,9995,8767,https://orangecounty.craigslist.org/cto/d/2015-honda-civic-lx-coupe/6495759302.html,2018-02-16 10:08,1,0.14007071974449642
