,2011-2013 Consumption Rank,2011 Average Consumption,2012 Average Consumption,2013 Average Consumption
396,397,1276,994,958
397,398,1149,988,1091
398,399,938,959,1320
399,400,1227,1026,958
400,401,839,1280,1089
401,402,1209,1080,912
402,403,952,1076,1173
403,404,1062,1227,909
404,405,944,875,1377
405,406,612,1177,1402
406,407,942,909,1337
407,408,919,1181,1083
408,409,929,1252,1000
409,410,930,1153,1090
410,411,957,1069,1144
411,412,1028,1083,1058
412,413,947,1004,1210
413,414,965,1094,1097
414,415,1008,1085,1061
415,416,1028,1260,865
416,417,770,1462,920
417,418,927,908,1304
418,419,1052,1010,1071
419,420,1119,981,1028
420,421,592,1484,1051
421,422,540,1231,1349
422,423,905,1153,1055
423,424,727,855,1528
424,425,667,1270,1171
425,426,800,778,1529
426,427,761,934,1411
427,428,964,1077,1063
428,429,756,803,1543
429,430,936,1192,962
430,431,735,1056,1298
431,432,1045,1102,940
432,433,570,1372,1145
433,434,779,1050,1256
434,435,1152,1128,802
435,436,926,971,1179
436,437,794,1104,1174
437,438,928,1119,1019
438,439,1027,1075,952
439,440,804,1020,1229
440,441,878,951,1221
441,442,1001,1042,998
442,443,1056,933,1042
443,444,744,1107,1173
444,445,1094,882,1042
445,446,884,1251,883
446,447,834,1069,1108
447,448,997,1096,916
448,449,1081,922,1006
449,450,1000,1054,954
450,451,927,1137,943
451,452,911,1099,996
452,453,1077,872,1054
453,454,143,1156,1700
454,455,905,1126,965
455,456,892,987,1117
456,457,979,1008,1009
457,458,607,994,1394
458,459,1134,896,965
459,460,820,1136,1038
460,461,1263,648,1080
461,462,1040,927,1024
462,463,804,772,1414
463,464,944,962,1075
464,465,788,769,1419
465,466,874,1007,1091
466,467,896,1095,980
467,468,1193,1105,673
468,469,960,1016,990
469,470,942,968,1055
470,471,676,1170,1118
471,472,975,1003,982
472,473,826,1053,1072
473,474,928,1365,656
474,475,1225,875,843
475,476,841,1125,977
476,477,954,1017,966
477,478,823,1141,960
478,479,933,858,1127
479,480,841,947,1128
480,481,891,854,1168
481,482,834,1114,962
482,483,837,1106,962
483,484,900,1034,966
484,485,875,970,1054
485,486,802,926,1166
486,487,848,1041,1004
487,488,877,920,1092
488,489,1141,877,870
489,490,937,991,959
490,491,1136,670,1074
491,492,1011,998,864
492,493,1099,767,1006
493,494,1014,1028,826
494,495,677,1078,1106
495,496,877,1221,759
496,497,978,973,903
497,498,859,986,1001
498,499,271,1221,1352
499,500,992,1007,844
